hotel,price,score,avg review,reviews count
Pavillon Opéra Grands Boulevards,US$252,Scored 7.67.6,N/A,N/A
Hôtel Le Royal Monceau Raffles Paris,"US$2,645",Scored 8.98.9,N/A,N/A
The Louvre & Rivoli - CityApartmentStay,US$220,N/A,N/A,N/A
Hotel de L'Esperance,US$227,Scored 8.58.5,N/A,N/A
Hôtel Du Brésil,US$155,Scored 7.17.1,N/A,N/A
Generator Paris,US$84,Scored 7.37.3,N/A,N/A
Timhotel Montmartre,US$323,Scored 8.38.3,N/A,N/A
Hôtel L'Interlude,US$175,Scored 8.28.2,N/A,N/A
UCPA SPORT STATION HOSTEL PARIS,US$175,Scored 8.08.0,N/A,N/A
Timhotel Opéra Blanche Fontaine,US$391,Scored 8.08.0,N/A,N/A
Mercure Paris Alesia,US$196,Scored 8.48.4,N/A,N/A
Hôtel Bedford,US$294,Scored 8.38.3,N/A,N/A
Le Relais du Marais,US$322,Scored 8.08.0,N/A,N/A
Hotel London,US$213,Scored 7.87.8,N/A,N/A
Hotel Marena,US$186,Scored 8.08.0,N/A,N/A
Hôtel Korner Etoile,US$272,Scored 8.28.2,N/A,N/A
Hotel Scarlett,US$260,Scored 8.18.1,N/A,N/A
Les Jardins Du Marais,US$391,Scored 8.28.2,N/A,N/A
Kyriad Hotel XIII Italie Gobelins,US$162,Scored 8.08.0,N/A,N/A
Hôtel De Venise,US$179,Scored 8.28.2,N/A,N/A
Hôtel Piapia,US$121,Scored 8.78.7,N/A,N/A
Hotel Des Deux Continents,US$377,Scored 8.28.2,N/A,N/A
Hotel Meslay Republique,US$206,Scored 8.18.1,N/A,N/A
Hôtel Diva Opera,US$268,Scored 8.18.1,N/A,N/A
St Christopher's Inn Paris - Canal,US$88,Scored 7.37.3,N/A,N/A
Hotel Bridget,US$170,Scored 8.18.1,N/A,N/A
